name,x,y,start_time,end_time,service_time,revenue
task_0,18,25,0,240,30,50
task_1,19,5,240,480,30,50
task_2,10,9,480,720,30,50
task_3,3,7,0,240,30,50
task_4,28,18,240,480,30,50
task_5,27,14,480,720,30,50
task_6,6,20,0,240,30,50
task_7,19,22,240,480,30,50
task_8,17,20,480,720,30,50
task_9,2,23,0,240,30,50
task_10,12,4,240,480,30,50
task_11,4,18,480,720,30,50
task_12,11,9,0,240,30,50
task_13,8,6,240,480,30,50
task_14,7,24,480,720,30,50
task_15,7,9,0,240,30,50
task_16,26,4,240,480,30,50
task_17,3,3,480,720,30,50
task_18,25,6,0,240,30,50
task_19,19,3,240,480,30,50
task_20,22,16,480,720,30,50
task_21,8,6,0,240,30,50
task_22,18,11,240,480,30,50
task_23,21,15,480,720,30,50
task_24,17,4,0,240,30,50
task_25,4,6,240,480,30,50
task_26,7,12,480,720,30,50
task_27,19,27,0,240,30,50
task_28,9,5,240,480,30,50
task_29,17,8,480,720,30,50
task_30,2,27,0,240,30,50
task_31,1,6,240,480,30,50
task_32,20,22,480,720,30,50
task_33,10,18,0,240,30,50
task_34,21,21,240,480,30,50
