name,x,y,start_time,end_time,service_time,revenue
task_0,15,15,0,240,30,50
task_1,2,20,240,480,30,50
task_2,15,0,480,720,30,50
task_3,23,7,0,240,30,50
task_4,23,14,240,480,30,50
task_5,14,22,480,720,30,50
task_6,2,24,0,240,30,50
task_7,15,9,240,480,30,50
task_8,14,13,480,720,30,50
task_9,20,14,0,240,30,50
task_10,4,28,240,480,30,50
task_11,7,0,480,720,30,50
task_12,29,27,0,240,30,50
task_13,17,12,240,480,30,50
task_14,19,27,480,720,30,50
task_15,4,2,0,240,30,50
task_16,3,26,240,480,30,50
task_17,21,23,480,720,30,50
task_18,10,27,0,240,30,50
task_19,16,26,240,480,30,50
task_20,4,16,480,720,30,50
task_21,14,25,0,240,30,50
task_22,10,18,240,480,30,50
task_23,27,21,480,720,30,50
task_24,1,10,0,240,30,50
task_25,24,23,240,480,30,50
task_26,8,20,480,720,30,50
task_27,1,3,0,240,30,50
task_28,3,8,240,480,30,50
task_29,1,15,480,720,30,50
task_30,25,23,0,240,30,50
task_31,27,6,240,480,30,50
task_32,9,29,480,720,30,50
task_33,14,21,0,240,30,50
task_34,22,8,240,480,30,50
