name,x,y,start_time,end_time,service_time,revenue
task_0,29,9,0,240,30,50
task_1,11,12,240,480,30,50
task_2,21,17,480,720,30,50
task_3,24,3,0,240,30,50
task_4,11,15,240,480,30,50
task_5,8,2,480,720,30,50
task_6,27,27,0,240,30,50
task_7,16,12,240,480,30,50
task_8,3,13,480,720,30,50
task_9,19,20,0,240,30,50
task_10,20,29,240,480,30,50
task_11,13,27,480,720,30,50
task_12,20,29,0,240,30,50
task_13,25,17,240,480,30,50
task_14,13,20,480,720,30,50
task_15,12,9,0,240,30,50
task_16,2,4,240,480,30,50
task_17,6,10,480,720,30,50
task_18,18,20,0,240,30,50
task_19,14,15,240,480,30,50
task_20,0,3,480,720,30,50
task_21,0,10,0,240,30,50
task_22,28,16,240,480,30,50
task_23,12,9,480,720,30,50
task_24,19,12,0,240,30,50
task_25,15,26,240,480,30,50
task_26,27,21,480,720,30,50
task_27,1,7,0,240,30,50
task_28,27,29,240,480,30,50
task_29,5,29,480,720,30,50
task_30,12,12,0,240,30,50
task_31,9,24,240,480,30,50
task_32,21,13,480,720,30,50
task_33,11,18,0,240,30,50
task_34,21,19,240,480,30,50
task_35,9,4,480,720,30,50
task_36,21,27,0,240,30,50
task_37,21,6,240,480,30,50
task_38,7,23,480,720,30,50
task_39,6,19,0,240,30,50
