name,x,y,start_time,end_time,service_time,revenue
task_0,21,29,0,240,30,50
task_1,22,7,240,480,30,50
task_2,8,22,480,720,30,50
task_3,1,12,0,240,30,50
task_4,2,14,240,480,30,50
task_5,26,24,480,720,30,50
task_6,23,0,0,240,30,50
task_7,28,24,240,480,30,50
task_8,2,28,480,720,30,50
task_9,27,22,0,240,30,50
task_10,20,4,240,480,30,50
task_11,27,27,480,720,30,50
task_12,3,20,0,240,30,50
task_13,29,10,240,480,30,50
task_14,25,23,480,720,30,50
task_15,14,22,0,240,30,50
task_16,11,9,240,480,30,50
task_17,14,27,480,720,30,50
task_18,28,19,0,240,30,50
task_19,23,25,240,480,30,50
task_20,11,2,480,720,30,50
task_21,29,5,0,240,30,50
task_22,12,8,240,480,30,50
task_23,20,25,480,720,30,50
task_24,6,27,0,240,30,50
task_25,26,28,240,480,30,50
task_26,29,9,480,720,30,50
task_27,20,19,0,240,30,50
task_28,20,26,240,480,30,50
task_29,10,0,480,720,30,50
task_30,22,26,0,240,30,50
task_31,24,1,240,480,30,50
task_32,10,16,480,720,30,50
task_33,18,20,0,240,30,50
task_34,4,25,240,480,30,50
task_35,15,7,480,720,30,50
task_36,7,14,0,240,30,50
task_37,0,19,240,480,30,50
task_38,25,10,480,720,30,50
task_39,6,18,0,240,30,50
