name,x,y,start_time,end_time,service_time,revenue
task_0,17,10,0,240,30,50
task_1,4,15,240,480,30,50
task_2,29,1,480,720,30,50
task_3,6,18,0,240,30,50
task_4,14,26,240,480,30,50
task_5,5,18,480,720,30,50
task_6,10,29,0,240,30,50
task_7,10,22,240,480,30,50
task_8,7,5,480,720,30,50
task_9,6,2,0,240,30,50
task_10,10,15,240,480,30,50
task_11,3,8,480,720,30,50
task_12,6,25,0,240,30,50
task_13,9,21,240,480,30,50
task_14,8,14,480,720,30,50
task_15,6,9,0,240,30,50
task_16,27,19,240,480,30,50
task_17,4,23,480,720,30,50
task_18,7,6,0,240,30,50
task_19,6,7,240,480,30,50
task_20,26,10,480,720,30,50
task_21,3,25,0,240,30,50
task_22,4,23,240,480,30,50
task_23,0,5,480,720,30,50
task_24,13,25,0,240,30,50
task_25,12,20,240,480,30,50
task_26,1,16,480,720,30,50
task_27,4,21,0,240,30,50
task_28,23,25,240,480,30,50
task_29,4,2,480,720,30,50
task_30,9,3,0,240,30,50
task_31,21,14,240,480,30,50
task_32,13,0,480,720,30,50
task_33,12,26,0,240,30,50
task_34,8,25,240,480,30,50
task_35,0,19,480,720,30,50
task_36,7,6,0,240,30,50
task_37,7,29,240,480,30,50
task_38,28,25,480,720,30,50
task_39,2,0,0,240,30,50
task_40,23,29,240,480,30,50
task_41,18,3,480,720,30,50
task_42,7,12,0,240,30,50
task_43,5,25,240,480,30,50
task_44,6,11,480,720,30,50
