name,x,y,start_time,end_time,service_time,revenue
task_0,14,13,0,240,30,50
task_1,14,28,240,480,30,50
task_2,8,5,480,720,30,50
task_3,10,28,0,240,30,50
task_4,7,6,240,480,30,50
task_5,1,10,480,720,30,50
task_6,1,4,0,240,30,50
task_7,19,7,240,480,30,50
task_8,9,10,480,720,30,50
task_9,16,26,0,240,30,50
task_10,27,9,240,480,30,50
task_11,19,13,480,720,30,50
task_12,19,4,0,240,30,50
task_13,19,6,240,480,30,50
task_14,12,7,480,720,30,50
task_15,10,26,0,240,30,50
task_16,27,16,240,480,30,50
task_17,19,11,480,720,30,50
task_18,13,13,0,240,30,50
task_19,14,10,240,480,30,50
task_20,14,9,480,720,30,50
task_21,23,26,0,240,30,50
task_22,25,2,240,480,30,50
task_23,3,24,480,720,30,50
task_24,12,20,0,240,30,50
task_25,17,29,240,480,30,50
task_26,10,4,480,720,30,50
task_27,19,5,0,240,30,50
task_28,12,10,240,480,30,50
task_29,8,22,480,720,30,50
task_30,7,27,0,240,30,50
task_31,0,22,240,480,30,50
task_32,28,29,480,720,30,50
task_33,24,17,0,240,30,50
task_34,5,9,240,480,30,50
