name,x,y,start_time,end_time,service_time,revenue
task_0,9,3,0,240,30,50
task_1,0,11,240,480,30,50
task_2,15,15,480,720,30,50
task_3,16,22,0,240,30,50
task_4,1,6,240,480,30,50
task_5,4,23,480,720,30,50
task_6,0,11,0,240,30,50
task_7,22,3,240,480,30,50
task_8,4,21,480,720,30,50
task_9,8,15,0,240,30,50
task_10,28,1,240,480,30,50
task_11,28,6,480,720,30,50
task_12,12,13,0,240,30,50
task_13,10,19,240,480,30,50
task_14,14,12,480,720,30,50
task_15,13,1,0,240,30,50
task_16,22,24,240,480,30,50
task_17,27,21,480,720,30,50
task_18,27,5,0,240,30,50
task_19,0,29,240,480,30,50
task_20,1,27,480,720,30,50
task_21,12,8,0,240,30,50
task_22,2,0,240,480,30,50
task_23,28,12,480,720,30,50
task_24,21,27,0,240,30,50
task_25,15,4,240,480,30,50
task_26,11,24,480,720,30,50
task_27,4,25,0,240,30,50
task_28,19,11,240,480,30,50
task_29,16,14,480,720,30,50
