name,x,y,start_time,end_time,service_time,revenue
task_0,19,17,0,240,30,50
task_1,11,17,240,480,30,50
task_2,8,27,480,720,30,50
task_3,3,24,0,240,30,50
task_4,19,13,240,480,30,50
task_5,12,28,480,720,30,50
task_6,9,21,0,240,30,50
task_7,26,2,240,480,30,50
task_8,12,8,480,720,30,50
task_9,18,28,0,240,30,50
task_10,20,4,240,480,30,50
task_11,15,28,480,720,30,50
task_12,23,9,0,240,30,50
task_13,1,28,240,480,30,50
task_14,15,11,480,720,30,50
task_15,11,15,0,240,30,50
task_16,11,28,240,480,30,50
task_17,25,4,480,720,30,50
task_18,13,23,0,240,30,50
task_19,28,10,240,480,30,50
task_20,27,27,480,720,30,50
task_21,29,16,0,240,30,50
task_22,20,9,240,480,30,50
task_23,5,26,480,720,30,50
task_24,15,20,0,240,30,50
task_25,0,1,240,480,30,50
task_26,1,1,480,720,30,50
task_27,21,3,0,240,30,50
task_28,26,16,240,480,30,50
task_29,14,19,480,720,30,50
task_30,23,29,0,240,30,50
task_31,0,18,240,480,30,50
task_32,20,27,480,720,30,50
task_33,25,7,0,240,30,50
task_34,25,27,240,480,30,50
task_35,2,16,480,720,30,50
task_36,19,18,0,240,30,50
task_37,3,12,240,480,30,50
task_38,22,23,480,720,30,50
task_39,18,29,0,240,30,50
